Position,Classification_Code,Starting step,Coalition,Current monthly pay,2024 monthly pay,2025 monthly pay,2024 monthly difference (2024-current),2025 monthly difference (2025 - current),Annual pay at current monthly pay,Annual pay at monthly pay at end of contract
Office Specialist 2,,8,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Operations & Policy Analyst 1,,8,Non-Strikeable,6318,7055.625,7169.397885,738,851,75816,86033
Park Ranger 2,,8,Non-Strikeable,5492,6128.01,6232.08819,636,740,65904,74785
Park Ranger Assistant,,8,Non-Strikeable,3780,4216.335,4289.38335,436,509,45360,51473
Park Specialist,,8,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Parking Services Representative,,8,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Parts Specialist 2,,8,Non-Strikeable,5492,6128.01,6232.08819,636,740,65904,74785
Payroll Analyst,,8,Non-Strikeable,5754,6423.015,6529.394655,669,775,69048,78353
Pharmacist Resident,,8,Non-Strikeable,6318,7055.625,7169.397885,738,851,75816,86033
Pharmacy Clerk & Technician 2,,8,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Pharmacy Clerk & Technician 3,,8,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Physical/Electronic Security Technician,,8,Non-Strikeable,5492,6128.01,6232.08819,636,740,65904,74785
Print Services Technician,,8,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Printing Production Coordinator,,8,Non-Strikeable,6318,7055.625,7169.397885,738,851,75816,86033
Procurement & Contract Specialist 1,,8,Non-Strikeable,6318,7055.625,7169.397885,738,851,75816,86033
Procurement & Contract Specialist 3,,8,Non-Strikeable,8220,9173.91,9327.70665,954,1108,98640,111932
Procurement And Contract Assistant,,8,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Program Analyst 1,,8,Non-Strikeable,6318,7055.625,7169.397885,738,851,75816,86033
Program Analyst 3,,8,Non-Strikeable,8220,9173.91,9327.70665,954,1108,98640,111932
Psychiatric Social Worker,,8,Non-Strikeable,8220,9173.91,9327.70665,954,1108,98640,111932
Public Affairs Specialist 2,,8,Non-Strikeable,8220,9173.91,9327.70665,954,1108,98640,111932
Public Health Toxicologist 1,,8,Non-Strikeable,8220,9173.91,9327.70665,954,1108,98640,111932
Public Service Representative 2,,8,Non-Strikeable,3959,4417.62,4492.504943,459,534,47508,53910
Public Service Representative 3,,8,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Public Service Representative 4,,8,Non-Strikeable,5492,6128.01,6232.08819,636,740,65904,74785
Rehabilitation Instructor For The Blind,,8,Non-Strikeable,6318,7055.625,7169.397885,738,851,75816,86033
Rehabilitation Instructor For The Blind (Entry),,8,Non-Strikeable,5754,6423.015,6529.394655,669,775,69048,78353
Research Analyst 1,,8,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Research Analyst 2,,8,Non-Strikeable,6318,7055.625,7169.397885,738,851,75816,86033
Retirement Counselor 1,,8,Non-Strikeable,5492,6128.01,6232.08819,636,740,65904,74785
Revenue Agent 1,,8,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Revenue Agent 2,,8,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Revenue Agent 3,,8,Non-Strikeable,5754,6423.015,6529.394655,669,775,69048,78353
Safety Specialist 1,,8,Non-Strikeable,6318,7055.625,7169.397885,738,851,75816,86033
Scientific Instrument Technician,,8,Non-Strikeable,5754,6423.015,6529.394655,669,775,69048,78353
Seamster,,8,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Shipping Point Inspector 1,,8,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Shipping Point Inspector 2,,8,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Sign Technician 1,,8,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Social Service Assistant,,8,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
State Library Specialist 1,,8,Non-Strikeable,3780,4216.335,4289.38335,436,509,45360,51473
Supply Specialist 1,,8,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Supply Specialist 2,,8,Non-Strikeable,5492,6128.01,6232.08819,636,740,65904,74785
Tax Auditor/Entry,,8,Non-Strikeable,5492,6128.01,6232.08819,636,740,65904,74785
Teaching Assistant,,8,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Training & Development Specialist 1,,8,Non-Strikeable,,,,,,,
Transportation Maintenance Specialist 1,,8,Non-Strikeable,,,,,,,
Transportation Maintenance Specialist 2,,8,Non-Strikeable,5231,5848.98,6529.394655,618,1298,62772,78353
Transportation Services Office Leader,,8,Non-Strikeable,5754,6423.015,6529.394655,669,775,69048,78353
Transportation Services Representative 1,,8,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Transportation Services Representative 2,,8,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Transportation Telecommunications Specialist 1,,8,Non-Strikeable,5492,6128.01,6232.08819,636,740,65904,74785
Transporting Mental Health Aide,,8,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Truck Driver 1,,8,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Truck Driver 2,,8,Non-Strikeable,5492,6128.01,6232.08819,636,740,65904,74785
Veterans Service Officer,,8,Non-Strikeable,6318,7055.625,7169.397885,738,851,75816,86033
Veterans Trust Officer,,8,Non-Strikeable,6318,7055.625,7169.397885,738,851,75816,86033
Vocational Rehabilitation Counselor Entry,,8,Non-Strikeable,5492,6128.01,6232.08819,636,740,65904,74785
Water Resource Data Technician 1,,8,Non-Strikeable,5231,5848.98,5935.916483,618,705,62772,71231
Water Resource Data Technician 2,,8,Non-Strikeable,5754,6423.015,6529.394655,669,775,69048,78353
Wildland Fire Dispatcher,,8,Non-Strikeable,4337,4842.555,4921.443278,506,584,52044,59057
Wildland Fire Dispatcher Entry,,8,Non-Strikeable,3604,4025.7,4089.66603,422,486,43248,49076
Wildland Fire Suppression Specialist,,8,Non-Strikeable,4766,5318.61,5408.254245,553,642,57192,64899
Wildland Fire Suppression Specialist Entry,,8,Non-Strikeable,3959,4417.62,4492.504943,459,534,47508,53910
Word Processing Technician 2,,8,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Word Processing Technician 3,,8,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Youth Corrections Unit Coordinator,,8,Non-Strikeable,6318,7055.625,7169.397885,738,851,75816,86033
Accountant 1,,9,Strikeable,6051,6763,7206,712,1155,72612,86472
Accountant 2,,9,Strikeable,7327,8177,8713,850,1386,87924,104556
Accountant 3,,9,Strikeable,8450,9447,10065,997,1615,101400,120780
Accounting Technician,,9,Strikeable,5019,5598,5964,579,945,60228,71568
Activities Coordinator,,9,Strikeable,5019,5598,5964,579,945,60228,71568
Administrative Law Judge 1,,9,Strikeable,8450,9447,10065,997,1615,101400,120780
Administrative Law Judge 2,,9,Strikeable,9751,10908,11622,1157,1871,117012,139464
Administrative Law Judge 3,,9,Strikeable,11825,13215,14080,1390,2255,141900,168960
Administrative Specialist 1,,9,Strikeable,4555,5086,5420,531,865,54660,65040
Administrative Specialist 2,,9,Strikeable,5256,5861,6245,605,989,63072,74940
Adult Protective Service Specialist,,9,Strikeable,6664,7436,7923,772,1259,79968,95076
Aerial Photographer,,9,Strikeable,6350,7097,7562,747,1212,76200,90744
Aircraft Pilot,,9,Strikeable,7327,8177,8713,850,1386,87924,104556
Appraiser Analyst 1,,9,Strikeable,4776,5345,5695,569,919,57312,68340
Appraiser Analyst 2,,9,Strikeable,6664,7436,7923,772,1259,79968,95076
Appraiser Analyst 3,,9,Strikeable,7678,8581,9143,903,1465,92136,109716
Appraiser Analyst 4,,9,Strikeable,8870,9897,10545,1027,1675,106440,126540
Apprenticeship Representative,,9,Strikeable,6051,6763,7206,712,1155,72612,86472
Automotive Fleet Attendant,,9,Strikeable,3964,4425,4715,461,751,47568,56580
Automotive Technician 1,,9,Strikeable,5019,5598,5964,579,945,60228,71568
Automotive Technician 2,,9,Strikeable,6051,6763,7206,712,1155,72612,86472
Behavioral Health Specialist 1,,9,Strikeable,6350,7097,7562,747,1212,76200,90744
Behavioral Health Specialist 2,,9,Strikeable,7327,8177,8713,850,1386,87924,104556
Behavioral Health Specialist 3,,9,Strikeable,8057,8999,9589,942,1532,96684,115068
Biological Science Assistant,,9,Strikeable,3629,4036,4301,407,672,43548,51612
Business & Employment Specialist 2,,9,Strikeable,5503,6146,6549,643,1046,66036,78588
Carpenter,,9,Strikeable,5771,6444,6866,673,1095,69252,82392
Certified Occupation Therapist Assistant,,9,Strikeable,5256,5861,6245,605,989,63072,74940
Chaplain,,9,Strikeable,6350,7097,7562,747,1212,76200,90744
Chemist 1,,9,Strikeable,6350,7097,7562,747,1212,76200,90744
Chemist 2,,9,Strikeable,6982,7803,8314,821,1332,83784,99768
Chemist 3,,9,Strikeable,8057,8999,9589,942,1532,96684,115068
Child Nutrition Specialist,,9,Strikeable,7678,8581,9143,903,1465,92136,109716
Child Support Case Manager,,9,Strikeable,5503,6146,6549,643,1046,66036,78588
Child Support Case Manager Entry,,9,Strikeable,5019,5598,5964,579,945,60228,71568
Child Support Specialist,,9,Strikeable,6051,6763,7206,712,1155,72612,86472
Civil Engineering Specialist 1,,9,Strikeable,6664,7436,7923,772,1259,79968,95076
Civil Rights Investigator 1,,9,Strikeable,5503,6146,6549,643,1046,66036,78588
Civil Rights Investigator 2,,9,Strikeable,6982,7803,8314,821,1332,83784,99768
Claims Representative 1,,9,Strikeable,5771,6444,6866,673,1095,69252,82392
Claims Representative 2,,9,Strikeable,6350,7097,7562,747,1212,76200,90744
Client Care Surveyor,,9,Strikeable,7678,8581,9143,903,1465,92136,109716
Clinical Laboratory Scientist,,9,Strikeable,6350,7097,7562,747,1212,76200,90744
Clinical Psychologist 1,,9,Strikeable,9751,10908,11622,1157,1871,117012,139464
Clinical Psychologist 2,,9,Strikeable,10740,11999,12785,1259,2045,128880,153420
Communicable Disease Analyst,,9,Strikeable,5771,6444,6866,673,1095,69252,82392
Community Outreach Specialist,,9,Strikeable,6982,7803,8314,821,1332,83784,99768
Compliance Specialist 1,,9,Strikeable,5503,6146,6549,643,1046,66036,78588
Compliance Specialist 2,,9,Strikeable,6664,7436,7923,772,1259,79968,95076
Compliance Specialist 3,,9,Strikeable,8057,8999,9589,942,1532,96684,115068
Construction Inspector,,9,Strikeable,7327,8177,8713,850,1386,87924,104556
Construction Project Manager 1,,9,Strikeable,7327,8177,8713,850,1386,87924,104556
Construction Project Manager 2,,9,Strikeable,8450,9447,10065,997,1615,101400,120780
Construction Project Manager 3,,9,Strikeable,9293,10385,11065,1092,1772,111516,132780
Cook,,9,Strikeable,4555,5086,5420,531,865,54660,65040
Custodial Services Coordinator,,9,Strikeable,3790,4222,4498,432,708,45480,53976
Custodian,,9,Strikeable,3335,3709,3952,374,617,40020,47424
Data Entry Control Technician,,9,Strikeable,3629,4036,4301,407,672,43548,51612
Data Entry Operator,,9,Strikeable,3629,4036,4301,407,672,43548,51612
Dental Assistant 2,,9,Strikeable,5256,5861,6245,605,989,63072,74940
Dental Hygienist,,9,Strikeable,8057,8999,9589,942,1532,96684,115068
Dietitian 2,,9,Strikeable,6982,7803,8314,821,1332,83784,99768
Disability Analyst 1,,9,Strikeable,6051,6763,7206,712,1155,72612,86472
Disability Analyst 2,,9,Strikeable,6664,7436,7923,772,1259,79968,95076
District Veterinarian,,9,Strikeable,8057,8999,9589,942,1532,96684,115068
DOJ Claims Examiner,,9,Strikeable,6051,6444,7206,393,1155,72612,86472
Dormitory Counselor 1,,9,Strikeable,4356,4851,5169,495,813,52272,62028
Dormitory Counselor 2,,9,Strikeable,5256,5861,6245,605,989,63072,74940
Economist 1,,9,Strikeable,6051,6763,7206,712,1155,72612,86472
Economist 2,,9,Strikeable,7327,8177,8713,850,1386,87924,104556
Economist 3,,9,Strikeable,8450,9447,10065,997,1615,101400,120780
Economist 4,,9,Strikeable,9751,10908,11622,1157,1871,117012,139464
Education Program Specialist 1,,9,Strikeable,8450,9447,10065,997,1615,101400,120780
Education Program Specialist 2,,9,Strikeable,9751,10908,11622,1157,1871,117012,139464
Electrician 2,,9,Strikeable,6982,7803,8314,821,1332,83784,99768
Electrician 3,,9,Strikeable,7678,8581,9143,903,1465,92136,109716
Electronic Publishing Design Specialist 1,,9,Strikeable,4555,5086,5420,531,865,54660,65040
Electronic Publishing Design Specialist 2,,9,Strikeable,5771,6444,6866,673,1095,69252,82392
Electronic Publishing Design Specialist 3,,9,Strikeable,6350,7097,7562,747,1212,76200,90744
Electronic Security Technician 2,,9,Strikeable,6982,7803,8314,821,1332,83784,99768
Employment Adjudicator,,9,Strikeable,6051,6763,7206,712,1155,72612,86472
Employment Appeals Board Legal Staff,,9,Strikeable,8057,8999,9589,942,1532,96684,115068
Engineering Technician 2,,9,Strikeable,5019,5598,5964,579,945,60228,71568
Engineering Technician 3,,9,Strikeable,5503,6146,6549,643,1046,66036,78588
Environmental Engineer 2,,9,Strikeable,8450,9447,10065,997,1615,101400,120780
Environmental Engineer 3,,9,Strikeable,9751,10908,11622,1157,1871,117012,139464
Environmental Health Specialist 3,,9,Strikeable,7678,8581,9143,903,1465,92136,109716
Epidemiologist 1,,9,Strikeable,7327,8177,8713,850,1386,87924,104556
Epidemiologist 2,,9,Strikeable,8450,9447,10065,997,1615,101400,120780
Epidemiologist 3,,9,Strikeable,9293,10385,11065,1092,1772,111516,132780
Equipment Operator,,9,Strikeable,5503,6146,6549,643,1046,66036,78588
Executive Assistant,,9,Strikeable,6664,7436,7923,772,1259,79968,95076
Executive Support Specialist 1,,9,Strikeable,4555,5086,5420,531,865,54660,65040
Executive Support Specialist 2,,9,Strikeable,5256,5861,6245,605,989,63072,74940
Facilities Engineer 1,,9,Strikeable,7327,8177,8713,850,1386,87924,104556
Facilities Engineer 3,,9,Strikeable,9751,10908,11622,1157,1871,117012,139464
Facility Energy Technician 2,,9,Strikeable,5771,6444,6866,673,1095,69252,82392
Facility Energy Technician 3,,9,Strikeable,6982,7803,8314,821,1332,83784,99768
Facility Energy Technician 4,,9,Strikeable,8057,8999,9589,942,1532,96684,115068
Facility Maintenance Specialist,,9,Strikeable,4776,5345,5695,569,919,57312,68340
Facility Operations Specialist 1,,9,Strikeable,6350,7097,7562,747,1212,76200,90744
Facility Operations Specialist 2,,9,Strikeable,6982,7803,8314,821,1332,83784,99768
Financial Enforcement Officer,,9,Strikeable,9293,10385,11065,1092,1772,111516,132780
Financial Examiner 1,,9,Strikeable,6350,7097,7562,747,1212,76200,90744
Financial Examiner 2,,9,Strikeable,7327,8177,8713,850,1386,87924,104556
Financial Examiner 3,,9,Strikeable,8450,9447,10065,997,1615,101400,120780
Financial Investigator 1,,9,Strikeable,6982,7803,8314,821,1332,83784,99768
Fiscal Analyst 1,,9,Strikeable,6051,6763,7206,712,1155,72612,86472
Fiscal Analyst 2,,9,Strikeable,7327,8177,8713,850,1386,87924,104556
Fiscal Analyst 3,,9,Strikeable,8450,9447,10065,997,1615,101400,120780
Fiscal Auditor 1,,9,Strikeable,6051,6763,7206,712,1155,72612,86472
Fish and Wildlife Technical Coordinator,,9,Strikeable,5503,6146,6549,643,1046,66036,78588
Fish and Wildlife Technician,,9,Strikeable,4555,5086,5420,531,865,54660,65040
Fish and Wildlife Technician Entry,,9,Strikeable,3790,4222,4498,432,708,45480,53976
Fish and Wildlife Technician Senior,,9,Strikeable,5019,5598,5964,579,945,60228,71568
Food Service Worker,,9,Strikeable,3790,4222,4498,432,708,45480,53976
Forest Crew Coordinator,,9,Strikeable,5019,5598,5964,579,945,60228,71568
Forest Lookout,,9,Strikeable,3483,3865,4118,382,635,41796,49416
Forest Management Technician,,9,Strikeable,4356,4851,5169,495,813,52272,62028
Forest Officer,,9,Strikeable,6051,6763,7206,712,1155,72612,86472
Geologist 2,,9,Strikeable,6982,7803,8314,821,1332,83784,99768
Governmental Auditor 1,,9,Strikeable,6350,7097,7562,747,1212,76200,90744
Governmental Auditor 2,,9,Strikeable,6982,7803,8314,821,1332,83784,99768
Governmental Auditor 3,,9,Strikeable,8057,8999,9589,942,1532,96684,115068
Grounds Maintenance Worker 1,,9,Strikeable,3964,4425,4715,461,751,47568,56580
Grounds Maintenance Worker 2,,9,Strikeable,4555,5086,5420,531,865,54660,65040
Group Life Coordinator 1,,9,Strikeable,4155,4639,4943,484,788,49860,59316
Group Life Coordinator 2,,9,Strikeable,5019,5598,5964,579,945,60228,71568
Hairdresser,,9,Strikeable,3964,4425,4715,461,751,47568,56580
Health Care Investigator/Advisor,,9,Strikeable,6982,7803,8314,821,1332,83784,99768
Health Information Specialist,,9,Strikeable,4776,5345,5695,569,919,57312,68340
Heavy Equipment Technician 1,,9,Strikeable,6261,6984,7442,723,1181,75132,89304
Heavy Equipment Technician 2,,9,Strikeable,6982,7793,8303,811,1321,83784,99636
Human Services Assistant 2,,9,Strikeable,4356,4851,5169,495,813,52272,62028
Human Services Case Manager,,9,Strikeable,5503,6146,6549,643,1046,66036,78588
Human Services Specialist 1,,9,Strikeable,4155,4639,4943,484,788,49860,59316
Human Services Specialist 2,,9,Strikeable,4555,5086,5420,531,865,54660,65040
Human Services Specialist 3,,9,Strikeable,5019,5598,5964,579,945,60228,71568
Human Services Specialist 4,,9,Strikeable,5771,6444,6866,673,1095,69252,82392
Incident Response Operations Specialist,,9,Strikeable,5256,5861,6245,605,989,63072,74940
Industrial Hygienist 2,,9,Strikeable,7327,8177,8713,850,1386,87924,104556
Industrial Hygienist 3,,9,Strikeable,8057,8999,9589,942,1532,96684,115068
Industrial Hygienist 4,,9,Strikeable,8870,9897,10545,1027,1675,106440,126540
Information Systems Specialist 2,,9,Strikeable,5532,6170,6574,638,1042,66384,78888
Information Systems Specialist 3,,9,Strikeable,6332,7059,7521,727,1189,75984,90252
Information Systems Specialist 4,,9,Strikeable,6874,7665,8167,791,1293,82488,98004
Information Systems Specialist 5,,9,Strikeable,7675,8555,9116,880,1441,92100,109392
Information Systems Specialist 6,,9,Strikeable,8216,9165,9766,949,1550,98592,117192
Information Systems Specialist 7,,9,Strikeable,9091,10136,10799,1045,1708,109092,129588
Information Systems Specialist 8,,9,Strikeable,9914,11056,11780,1142,1866,118968,141360
Institution Registered Nurse,,9,Strikeable,9789,10921,11636,1132,1847,117468,139632
Insurance Examiner,,9,Strikeable,8450,9447,10065,997,1615,101400,120780
Insurance Examiner Entry,,9,Strikeable,6982,7803,8314,821,1332,83784,99768
Investigator 1,,9,Strikeable,5019,5598,5964,579,945,60228,71568
Investigator 2,,9,Strikeable,6051,6763,7206,712,1155,72612,86472
Investigator 3,,9,Strikeable,6982,7803,8314,821,1332,83784,99768
Investment Analyst 1,,9,Strikeable,7327,8177,8713,850,1386,87924,104556
Investment Analyst 2,,9,Strikeable,8450,9447,10065,997,1615,101400,120780
Investment Analyst 3,,9,Strikeable,9751,10908,11622,1157,1871,117012,139464
Juvenile Probation/Social Services Officer/Juvenile Correction Counselor,,9,Strikeable,6350,7097,7562,747,1212,76200,90744
Laboratory Technician 2,,9,Strikeable,4555,5086,5420,531,865,54660,65040
Laborer/Student Worker,,9,Strikeable,3629,4036,4301,407,672,43548,51612
Legal Secretary,,9,Strikeable,4776,5345,5695,569,919,57312,68340
